[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Found team in API: Hawks
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20250125, Home Team: ATL, Away Team: TOR, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20250207, Home Team: ATL, Away Team: MIL, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20241023, Home Team: ATL, Away Team: BKN, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20250101, Home Team: DEN, Away Team: ATL, Game Time: 9:00p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20241125, Home Team: ATL, Away Team: DAL, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20241130, Home Team: CHA, Away Team: ATL, Game Time: 6:00p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20241208, Home Team: ATL, Away Team: DEN, Game Time: 6:00p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20241129, Home Team: ATL, Away Team: CLE, Game Time: 2:30p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20250223, Home Team: ATL, Away Team: DET, Game Time: 6:00p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20241112, Home Team: BOS, Away Team: ATL, Game Time: 7:00p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20250103, Home Team: LAL, Away Team: ATL, Game Time: 10:30p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20250327, Home Team: MIA, Away Team: ATL, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20241109, Home Team: ATL, Away Team: CHI, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20250107, Home Team: UTA, Away Team: ATL, Game Time: 9:00p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20250316, Home Team: BKN, Away Team: ATL, Game Time: 6:00p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20250406, Home Team: ATL, Away Team: UTA, Game Time: 6:00p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20250220, Home Team: ATL, Away Team: ORL, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20250401, Home Team: ATL, Away Team: POR, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20250123, Home Team: ATL, Away Team: TOR, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20250226, Home Team: MIA, Away Team: ATL, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20241204, Home Team: MIL, Away Team: ATL, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20241229, Home Team: TOR, Away Team: ATL, Game Time: 6:00p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20250410, Home Team: BKN, Away Team: ATL, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.092 [main] rapidapiDaoTest - Game Date: 20241027, Home Team: OKC, Away Team: ATL, Game Time: 7:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20241104, Home Team: ATL, Away Team: BOS, Game Time: 7:45p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20241108, Home Team: DET, Away Team: ATL, Game Time: 7:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250201, Home Team: IND, Away Team: ATL, Game Time: 5:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250111, Home Team: ATL, Away Team: HOU, Game Time: 3:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20241117, Home Team: POR, Away Team: ATL, Game Time: 6:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250322, Home Team: ATL, Away Team: GS, Game Time: 7:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250325, Home Team: HOU, Away Team: ATL, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20241120, Home Team: GS, Away Team: ATL, Game Time: 10:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250413, Home Team: ATL, Away Team: ORL, Game Time: 1:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250304, Home Team: ATL, Away Team: MIL, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250224, Home Team: ATL, Away Team: MIA, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250208, Home Team: WAS, Away Team: ATL, Game Time: 7:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250323, Home Team: ATL, Away Team: PHI, Game Time: 6:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250318, Home Team: CHA, Away Team: ATL, Game Time: 7:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20241028, Home Team: ATL, Away Team: WAS, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250114, Home Team: ATL, Away Team: PHO, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250405, Home Team: ATL, Away Team: NY, Game Time: 3:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20241103, Home Team: NO, Away Team: ATL, Game Time: 7:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250314, Home Team: ATL, Away Team: LAC, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20241206, Home Team: ATL, Away Team: LAL, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20241025, Home Team: ATL, Away Team: CHA, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20241223, Home Team: ATL, Away Team: MIN, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250109, Home Team: PHO, Away Team: ATL, Game Time: 9:00p
[INFO ] 2024-12-04 15:19:07.093 [main] rapidapiDaoTest - Game Date: 20250306, Home Team: ATL, Away Team: IND, Game Time: 7:30p
